827,泰尔重工股份有限公司,安徽,马鞍山市,4.38亿,-1.08亿,1028,2010-01-28,--,基础件,万向联轴器、鼓形齿式联轴器、精密卷筒、打包机、电池注液机、再制造业务、剪刃、复合滑板、汽车传动轴,冶金成套设备、核心设备、核心备件、激光再制造技术、总包服务、新能源业务等系列产品的研发、生产、销售与服务。
828,广东高乐股份有限公司,广东,揭阳市,6.61亿,6236.53万,917,2010-02-03,--,玩具,玩具制造、教育信息化服务,电子电动玩具的研发、生产和销售。
829,精华制药集团股份有限公司,江苏,南通市,11.21亿,1.90亿,1775,2010-02-03,--,中药生产,中成药制剂、化工医药中间体、化学原料药、中间体、中药材、中药饮片,传统中成药制剂、化学原料药及中间体、化工医药中间体、中药材及中药饮片、生物制药等的研发、生产和销售。
830,北京科锐配电自动化股份有限公司,北京,北京市,22.15亿,8151.41万,2193,2010-02-03,--,电气自控设备,中低压开关系列产品、配电变压器系列产品、配电网自动化系列产品、配电设备元器件系列产品,12kV及以下配电及控制设备的研发、生产与销售。
831,深圳市漫步者科技股份有限公司,广东,深圳市,9.01亿,1.15亿,3468,2010-02-05,--,消费电子设备,电子,音响生产与销售。
832,顺丰控股股份有限公司,广东,深圳市,712.73亿,47.55亿,121925,2010-02-05,--,物流,快递服务、快运服务、冷链运输服务、增值服务,综合性快递物流服务。
833,烟台杰瑞石油服务集团股份有限公司,山东,烟台市,31.87亿,7572.31万,5039,2010-02-05,--,石油钻采设备,油气装备制造及技术服务、维修改造及贸易配件、环保服务,油气田设备及技术工程服务。
834,大连天神娱乐股份有限公司,辽宁,大连市,31.01亿,12.37亿,700,2010-02-09,--,游戏,电竞游戏、数据流量,电竞游戏与数据流量业务。
835,兴民智通(集团)股份有限公司,山东,烟台市,18.68亿,9833.65万,2393,2010-02-09,--,汽车零部件,钢制车轮、车载无线及集成产品、智驾服务、边角料、车载信息服务,汽车钢制车轮与车载信息化硬件的研发、制造和销售。
836,深圳赫美集团股份有限公司,广东,深圳市,24.10亿,2.27亿,722,2010-02-09,--,珠宝首饰,商业、高端制造业、类金融业,为国际品牌服装、鞋帽、箱包等商品的零售。
837,四川富临运业集团股份有限公司,四川,成都市,10.75亿,1.04亿,2252,2010-02-10,--,公交,汽车客运站服务、汽车客运服务,汽车客运服务和汽车客运站经营，其他业务包括汽车后服、汽车租赁、旅游、商贸等。
838,河南森源电气股份有限公司,河南,许昌市,35.51亿,4.40亿,13429,2010-02-10,--,其他输变电设备,输变电产品、新能源EPC总包、环卫产业服务,高低压配电成套装置、电能质量治理、高压电器元器件系列产品开发、生产和销售。
839,北讯集团股份有限公司,广东,深圳市,20.96亿,2.17亿,609,2010-02-10,--,其他输变电设备,通信行业、制造业,各类铁塔产品以及立体停车设备的生产、销售业务；无线宽带专网的建设及运营。
840,山西同德化工股份有限公司,山西,忻州市,7.10亿,1.01亿,1720,2010-03-03,--,民爆用品,工业炸药、工程爆破、白炭黑、民爆器材,民用炸药的研发、生产、销售（流通），以及为客户提供爆破工程的整体解决方案等。
761,武汉光迅科技股份有限公司,湖北,武汉市,45.53亿,3.27亿,4578,2009-08-21,--,通信传输设备,光电子器件、模块、子系统产品,光电子器件及子系统产品研发、生产、销售及技术服务。
762,博深股份有限公司,河北,石家庄市,5.92亿,5107.93万,1886,2009-08-21,--,其他通用机械,金刚石工具、电动工具、合金工具、纸基涂附磨具、布基涂附磨具、薄膜基涂附磨具、轨交装备零部件、租赁业,金刚石工具的研发、生产和销售。
763,天润工业技术股份有限公司,山东,威海市,30.21亿,3.41亿,3617,2009-08-21,--,汽车零部件,汽车零部件制造业,曲轴、连杆、铸件生产制造。
764,浙江亚太机电股份有限公司,浙江,杭州市,39.64亿,8810.01万,2630,2009-08-28,--,汽车零部件,汽车零部件,汽车基础制动系统、汽车电子控制系统、智能驾驶系统、轮毂电机以及线控底盘系统的开发、生产、销售。
765,深圳世联行集团股份有限公司,广东,深圳市,82.12亿,10.56亿,21237,2009-08-28,--,房地产服务,代理销售业务、互联网+业务、金融服务业务、资产运营服务、物业管理服务、装修服务业务、顾问策划业务、资产投资服务,房地产咨询、房地产代理、房地产经纪、物业管理。
766,保龄宝生物股份有限公司,山东,德州市,15.93亿,4909.65万,1122,2009-08-28,--,糖醇,食品制造,功能糖的研发、制造及方案服务。
